"contentType","ts","value"
Other File Sharing,1728439200,1361406
Trading,1728446400,1183610
Other File Sharing,1727424000,542673
Other File Sharing,1727712000,1336650
Other File Sharing,1727978400,1649569
Other File Sharing,1727784000,4754066
One Click Hosting,1727791200,32232678481
Trading,1727776800,21678181
Email,1727395200,14467404
Trading,1728554400,29001163
Trading,1727913600,41675859
Trading,1728259200,52902110
Trading,1727964000,33217442
Trading,1728432000,33773346
One Click Hosting,1727712000,8006442747
Trading,1728158400,68579971
One Click Hosting,1728468000,6555018571
One Click Hosting,1727539200,7609253848
Trading,1727445600,18875104
Trading,1728216000,38042666
Trading,1727726400,54746055
One Click Hosting,1727164800,11732906052
Trading,1727373600,39282315
Trading,1728424800,35913586
Trading,1728417600,26378313
Trading,1727820000,35507281
Trading,1727452800,29636827
Trading,1727352000,91980162
Trading,1728633600,97401763
Other File Sharing,1727719200,2055466
Other File Sharing,1727618400,4443024
Other File Sharing,1728230400,5498753
Trading,1728316800,74360481
Trading,1727366400,70985376
Other File Sharing,1727553600,2977936
Trading,1727308800,24475114
Trading,1727719200,67042570
Trading,1728684000,52782362
Other File Sharing,1727575200,1070633
Other File Sharing,1728453600,2160262
Other File Sharing,1727496000,1131805
Other File Sharing,1727704800,1514242
Ads & Trackers,1728482400,4416578803
One Click Hosting,1727445600,10398175056
Other File Sharing,1727186400,838487
Other File Sharing,1727568000,2895003
One Click Hosting,1728669600,13698512623
One Click Hosting,1727776800,2243634373
Other File Sharing,1728223200,4558757
Email,1727409600,4751341
Other File Sharing,1728273600,828279
Other File Sharing,1727280000,1125406
Trading,1728590400,49905111
One Click Hosting,1728676800,28923854876
Other File Sharing,1728201600,938998
Other File Sharing,1728194400,908578
Other File Sharing,1728705600,2310782
Other File Sharing,1728158400,6483622
Other File Sharing,1727560800,2481096
Other File Sharing,1727244000,1642685
Other File Sharing,1727236800,1613823
Other File Sharing,1727870400,6941587
Other File Sharing,1728144000,2663964
Other File Sharing,1728619200,1408403
Other File Sharing,1728108000,2627238
Other File Sharing,1727474400,1393148
Other File Sharing,1728122400,1561775
Other File Sharing,1728698400,2287734
Other File Sharing,1728136800,1283376
Other File Sharing,1728511200,3258223
Other File Sharing,1727589600,38793529
Other File Sharing,1728028800,1579439
Other File Sharing,1728072000,4510254
Other File Sharing,1727308800,3970614
Other File Sharing,1728280800,2287972
Other File Sharing,1728446400,1624805
Other File Sharing,1728021600,1637648
Other File Sharing,1728554400,300924347
Other File Sharing,1728540000,1173790
Other File Sharing,1728115200,1877900
Other File Sharing,1728360000,1716244
Other File Sharing,1728396000,2117590
Other File Sharing,1728100800,897567
Other File Sharing,1728626400,979623
Other File Sharing,1727964000,2507716
Other File Sharing,1727431200,3116811
Other File Sharing,1727488800,877484
Other File Sharing,1727863200,4311354
Other File Sharing,1727272800,2878610
Other File Sharing,1727791200,4350767
Other File Sharing,1728129600,1373038
Other File Sharing,1727481600,953255
Other File Sharing,1728604800,6812827
Other File Sharing,1728525600,14852343
Other File Sharing,1727503200,936010
Other File Sharing,1728216000,5961227
Other File Sharing,1728388800,2241987
Other File Sharing,1728036000,1912332
Other File Sharing,1728410400,3738471
Other File Sharing,1728612000,2808122
Other File Sharing,1727337600,1626863
Other File Sharing,1728288000,2526478
Other File Sharing,1728432000,3689384
Other File Sharing,1727985600,1672448
Other File Sharing,1727229600,1659625
Other File Sharing,1727416800,138345
Other File Sharing,1727445600,6698151
Other File Sharing,1728403200,2405845
Other File Sharing,1727776800,4802209
Other File Sharing,1728518400,425095126
Other File Sharing,1727323200,2647181
Other File Sharing,1728561600,2751952
Other File Sharing,1728374400,1442557
Other File Sharing,1728064800,2719804
Other File Sharing,1728259200,2082266
Other File Sharing,1728504000,2784222
Other File Sharing,1728180000,3101261
Other File Sharing,1727316000,2113675
Other File Sharing,1728208800,11092362
Other File Sharing,1728633600,2781496
Other File Sharing,1728014400,2388733
Other File Sharing,1728093600,2379063
Other File Sharing,1727330400,2621149
Other File Sharing,1727971200,1520286
Other File Sharing,1728367200,1959082
Other File Sharing,1727402400,2332180
Other File Sharing,1727841600,1550980
Other File Sharing,1727661600,1565886
Other File Sharing,1727373600,2467493
Other File Sharing,1728352800,2526746
Other File Sharing,1728381600,1971237
Other File Sharing,1727798400,3496643
Other File Sharing,1727352000,3739367
Other File Sharing,1728007200,3003888
Other File Sharing,1728547200,2924124
Other File Sharing,1727251200,3204558
Trading,1727222400,98386464
Other File Sharing,1728712800,2190900
Other File Sharing,1727222400,4498816
Other File Sharing,1728568800,830768799
Trading,1727848800,49448692
Trading,1727769600,67788185
Trading,1727676000,19258456
Trading,1727251200,32184857
Trading,1728388800,14277364
Trading,1727323200,3527627
One Click Hosting,1728640800,10947063375
One Click Hosting,1728417600,17722869581
One Click Hosting,1728489600,16208482112
One Click Hosting,1727805600,6182483430
One Click Hosting,1727208000,20962261747
One Click Hosting,1728158400,6951332043
One Click Hosting,1727784000,15330159741
One Click Hosting,1727892000,6490223509
One Click Hosting,1727193600,21988189416
One Click Hosting,1728151200,3642011580
One Click Hosting,1728590400,17918721480
One Click Hosting,1728036000,10324395684
One Click Hosting,1727899200,17405843608
One Click Hosting,1727200800,13163477259
One Click Hosting,1727172000,418408347
Trading,1727200800,39376301
One Click Hosting,1728316800,13450086432
Trading,1727611200,38854088
One Click Hosting,1727179200,3486442417
One Click Hosting,1728396000,33044124446
One Click Hosting,1728043200,26785875157
One Click Hosting,1728554400,27534827386
One Click Hosting,1728576000,15376144439
Trading,1727992800,15168619
Other File Sharing,1727467200,3084608
Other File Sharing,1728532800,1438542
Other File Sharing,1727877600,5393117
Trading,1728518400,13614892
Trading,1727474400,20442171
Trading,1727812800,45627425
Trading,1727539200,19236511
One Click Hosting,1728496800,25869851749
Other File Sharing,1727676000,2216889
One Click Hosting,1728324000,3982395572
One Click Hosting,1728216000,23678746524
Internet Privacy,1727827200,394756553294
Trading,1728237600,16304539
Other File Sharing,1727172000,410861693
Other File Sharing,1727834400,1017714
Other File Sharing,1728496800,4842747
Other File Sharing,1727820000,3254454
Trading,1727186400,32599850
Browsing,1728482400,315548618289
Trading,1727784000,12328553
Other File Sharing,1727539200,4956905
Other File Sharing,1727532000,2917621
One Click Hosting,1727287200,13399319284
Trading,1727712000,71515049
One Click Hosting,1728252000,33260528483
One Click Hosting,1727186400,7692247839
Other File Sharing,1727956800,2604077
Other File Sharing,1727438400,3078819
Other File Sharing,1727928000,2793667
Other File Sharing,1727683200,4013775
One Click Hosting,1728381600,10817731288
One Click Hosting,1728583200,5693953828
Trading,1728295200,48800304
Trading,1727431200,30607633
Trading,1727582400,10128529
